"column_desc_details"
"(abandoned,""Account status indicating it is unclaimed possibly requiring specific regulatory reporting"")"
"(relationship_primary,""Master account linking related account activities within a payee pivotal for IRS cohesion and tax governance"")"
"(release_id,""ID number locating output files for records ensuring traceability under IRS protocols"")"
"(rel_type,""Accounts primary ownership status or relation to primary owner assessed under IRS conditions for linkage verification"")"
"(remic_calculation,""REMIC calculations from quantity and rate on holding periods for IRS tax procedures and consistency"")"
"(rem_inc,""Indicator to include or exclude account holder from service per IRS arrangements and objectives"")"
"(rep_copy,""Indicator requesting tax statement copy for agent totaling IRS endorsed transmissions"")"
"(rep_id,""Agent code display defined by entity preserving IRS associated clarity and reflection"")"
"(reportable_type,""Tax reporting status derived by entity typesubtype combinations crucial for IRS account designations"")"
"(rep_prefix,""Prefix preceding header for representative names on statements complying with IRS distinct mandates"")"
"(rep_print,""Agent ID used for IRS print purposes securing document correspondence and tracking"")"
"(rep_ref,""Naming convention for financial agents catering to account holders under IRS guidelines ensuring compliance support"")"
"(requested_id,""User ID of request associate legislative IRS recognition flowing with request procedures"")"
"(retid,""Unique identifier for record tracking in Client Core"")"
"(rev_ind,""Value assesses changes from original classification events critical for IRS adjustments and reporting"")"
"(ric_inc,""Indicator to includeexclude account holder for prescribed service aligning IRS thresholds and structure"")"
"(rmd_ind,""Indicator account is subject to Required Minimum Distributions central to IRS regulations and exemptions"")"
"(rmd_type,""RMD computation consequences determined by inherited or noninherited rules maintaining IRS protocol adherence"")"
"(roth_first_year,""Roth account funding benchmark year stating IRS operational approval in stable commencement"")"
"(rownum,""Unique ID for Client Stage record stemming from IRS systematic immersions in checking flex"")"
"(rq_num,""Numeric state code assigned by Hacienda for Puerto Rico identification"")"
"(ruleind,""Parent security identifier type oriented within IRS classifications ensuring record leadership"")"
"(run_date,""Date when specific processes or reports were executed"")"
"(sec_id,""Primary identifier security ID looked under IRScontrolled evaluation subnect performance"")"
"(sec_id_client,""Clientidentified override for security bypassing market IDs for precise IRS categorization and record management"")"
"(sec_id_type,""Type of security identifier supporting IRS compliance in regulatory and tax assessment frameworks"")"
"(sec_tax,""Historical code reflecting taxability value on securities used in TMSBPS platforms"")"
"(sec_type,""Detailed classification of assets catering to IRS policy compliance and comprehensive documentation"")"
"(sec_type_desc,""Taxonomy security type description detailing IRS observations aiding tax reporting and document references"")"
"(sec_udr,""Relatedcontra security held by account holder joining parent security under IRS codified evolutionary themes"")"
"(sec_udr_type,""Security ID type of underlying security overlapping IRS organization and foundational emanation decks"")"
"(security_status,""Value indicating asset activityinactivity status from issuer perspective"")"
"(sedol,""Sevencharacter SEDOL identification for traded securities integral for IRS international trading and documentation"")"
"(send_cb_rec,""Evaluates if a base record is used in client reporting"")"
"(seq_no,""Number assigned for multiple records with shared core attribute relevant for IRS documentation coherence"")"
"(service_code,""Value assigned within Tax Data Services defining product affiliation crucial for IRS service configuration"")"
"(service_code_client,""Identifies productspecific service code allocation for CUSIP"")"
"(service_code_date_range_count,""Count of service code assignments tracking IRS service integration through ongoing allocations"")"
"(service_code_eff_date,""Start date for service code assignment aligning IRS transactional engagements within schedules"")"
"(service_code_end_date,""End date for completed service code assignment indicative of IRS transactional service conclusion"")"
"(service_code_source,""Assignment of security as defaulted CUSIP or eventbased claims cited for IRS processing facilitation"")"
"(service_level,""Defines service level classifying factor type nature as primary secondary or complementary"")"
"(share_class,""Share classifications used in corporate controlcapital structure changes aiding IRS compliance reflections"")"
"(short_desc,""Concise transaction type description conveying essential characteristics succinctly"")"
"(short_name,""Approved short name for web display in place of formal identification supporting IRS public interaction adjustments"")"
"(sipc_ind,""SIPC logo not required when set to N delineating compliance specifics within IRS security entries"")"
"(snr_id,""ISO code assigned to define supranational region within continental settings"")"
"(soc_code,""Value per NSCC defining beneficial fund ownership aligning with IRS asset assertions and engagement standards"")"
"(source,""Entity or function generating the record stabilizing IRS tracking and documentation rhythms"")"
"(source_broker_form,""Form indicating origin or source of represented data"")"
"(source_id,""Identifier for resource supplying information highlighting IRS verification and resource authenticity"")"
"(source_inv_type,""Specifies the type of investment source for classification within the record system"")"
"(source_rec_type,""Designates the type of source records utilized in processes"")"
"(source_sec_type,""Specific source identifying types aligning security categories judiciously articulated"")"
"(sovereign,""Indicates countrys independent status in tax regime contexts"")"
"(special_inst,""Handling requirements specified for tax lot processing in transactions"")"
"(specified_ind,""Identifies if the asset is specified or covered for regulatory purposes"")"
"(spec_inst,""Additionaloverriding reporting instructions for clients necessary for IRS procedural compliance"")"
"(spillover_elig,""Defaulting treatment for eligible payments as prior year entries crucial under IRS regulatory terms"")"
"(sponsor_id,""Sponsor ID for 8966 filer or sponsored FI central to IRS FI documentation conveyances"")"
"(src,""Resource identifier supplying information verifying IRS authenticity stocks"")"
"(src_end_date,""Closing date registered for activity or process conclusion periods essential in records"")"
"(src_start_date,""Initial date for event or process commencement"")"
"(stacked_rule,""Record ID of PJ Form rule executed ensuring IRS aspectual consistency in documentation oversight"")"
"(start_date,""The commencement date for event tracking and documentation"")"
"(starting_acct_cusips,""Identifies starting point or value for specified CUSIPs in accounts"")"
"(state,""Twocharacter state code based on USPS Standards sustaining IRS recording norms"")"
"(state_backup_wth_cd,""Defines attribute requirement levels for critical or passive exception handling"")"
"(statecode,""State code reflecting jurisdictionspecific IRS compliance and record declaration"")"
"(state_desc,""Identifies US state involved in financial activity or documentation"")"
"(state_reporting,""Override for state reporting crucial for IRS provisional audits and affirmations"")"
"(state_wh,""State code for the withholding transaction commanding IRS determined validity in documentation"")"
"(state_withholding,""Tax amount withheld for state backup reported on 1099B forms"")"
"(status,""Status denotes field condition or job request fundamental under IRS adherence guidelines"")"
"(status_code,""Indicator marking record as pending or approved essential for IRS operational transparency and procedural tracking"")"
"(status_fnf,""Original preadjustment open amount for tax lot informationreconciliation"")"
"(status_fnf_prev,""Previous status of AccountSecurity ID before current processing"")"
"(stax_inc,""Indicator for includingexcluding account holder from service supporting IRS stipulations on service alignments"")"
"(stkrecid,""Unique ID for record within client core aiding streamlined IRS audit processes and data tractability"")"
"(stmt_profile,""Statement type eligible for account holder crucial for ensuring IRS compliant receipt and documentation fulfilment"")"
"(strike,""Set price for exercising derivative contract impacting IRS calculation of capital gainslosses"")"
"(stt_rate,""Eligible state rate determining withholding reinforcing IRS compliance across jurisdictional contexts"")"
"(stt_status,""Account status indicating IRS withholding application over qualifiedunqualified interactions"")"
"(subdivision_3166,""ISO codes identifying subdivisions within countries coded in ISO 31661"")"
"(sub_type,""Classification of transaction type within a more detailed tax codetype combination scope"")"
"(sub_year_ind,""Indicates withholding performed in subsequent year for PTP crucial for IRS annual update engagements"")"
"(sudm,""Silver Unified Data Model value reference within category allocations"")"
"(sum_field,""Box is part of aggregated field capturing related box values for IRS aggregate reporting"")"
"(supp_ind,""Entity suppressed for reporting abiding by IRSdefined restrictive reporting conditions"")"
"(suppl_pay_cd1,""Code clarifying supplemental income source for tax records"")"
"(suppl_pay_cd2,""Secondary payment code enhancing income communication in payment streams"")"
"(suppress_ind,""Indicates if a tax lot is suppressed from view due to closure"")"
"(symbol,""Stock symbol identifying publicly traded securities on exchanges affording IRS fiscal tracking and documentation"")"
"(target,""Field highlighting target clientele in NRA transaction contexts"")"
"(tax,""Authority marking tax codes sourced from federal state or local governments"")"
"(tax_lot_id,""Open lot ID tied to election stimulating IRS tax lot designation in ongoing records"")"
"(taxlotidopen,""Unique ID for tax lot opened at accrual start underpinning IRS inception actioning endeavors"")"
"(taxonomy,""Qualifying taxonomy decides review eligibility aptly in constructs vertically"")"
"(taxonomy_ind,""Eventdriven taxonomy rule application affecting IRS tax compliance and classification standards"")"
"(taxonomy_rule,""Dictates taxonomy override application rule"")"
"(taxonomy_sec_type_eff_date,""Date confirming assets security type classification usually issue date"")"
"(taxonomy_type,""Default income type per taxonomy domesticnonUS records influencing IRS assessment frameworks"")"
"(taxratech3,""Chapter 3 tax rate for payment based on account status and income code crucial for IRS directives"")"
"(taxratech4,""Chapter 4 tax rate for payment dependent on account status and income code under IRS protocols"")"
"(taxyear,""Tax year assigned to event potentially client or BRTS influenced aligning with IRS reporting specifications"")"
"(tax_year,""Tax year assigned to event potentially client or BRTS influenced aligning with IRS reporting specifications"")"
"(tax_year_ind,""Indicates if tax year defined by client or via Broadridge rule vital for IRS documentation"")"
"(tcc,""Transmitter Control Code for IRS filing ensuring functional control in regulatory submissions"")"
"(tds_default,""Indicates primary TDS calculation event when multiple events apply"")"
"(tds_eligible,""Defines transaction eligibility for Tax Data Services processing"")"
"(tds_scdy,""Eligibility of transaction types for secondary TDS file reporting"")"
"(tele_primary,""Primary telephone number for reference entity in filings integral for IRS communication needs"")"
"(tele_secondary,""Alternate telephone number used under client conditions augmenting IRS tactical reach"")"
"(temp_addr,""Temporary address uses adjusting IRS requirements amid flexible address deployment strategies"")"
"(term,""Short or long term indicator orienting IRS asset timing paradigms and decision outcomes"")"
"(terminally_ill_ind,""Indicator marking beneficial owners terminal diagnosis articulating IRS compassionate arrangements"")"
"(term_unk_ind,""Indicates if the capital gainloss amount is unspecified"")"
"(threshhold_id,""Refers to source for result writeback in data outcome"")"
"(threshold_corr_id,""ID for rule setting correction thresholds in form boxes"")"
"(time_stamp,""Clientsupplied timestamp supports IRS documentation consistency and reference linkage"")"
"(tin,""Reference entitys TIN foundational for IRS guardrails and constraint applications"")"
"(tin2,""Secondary account holders TIN crucial for IRS recognition and crossholder engagements"")"
"(tin2_type,""TIN type of secondary account holder bolstering IRS range and synchronization in compliance"")"
"(tin_category,""General derived TIN status of account holder facilitating IRS record alignment and jurisdictional assessments"")"
"(tin_type,""TIN type of reference entity enhancing IRS validation and documentation procedures"")"
"(tmt_ent_id,""Reference ID of entity as payers transmitter reinforcing IRS contextual analysis"")"
"(tmt_vdr_ind,""Transmitter set as vendor indicating filing simplification for IRS filing preferences"")"
"(total_cy,""Total gainloss for 1256 options in the current year"")"
"(totalrecords,""Number of records processed essential for IRS oversight of complete data requests"")"
"(tp_match,""Match indicator between issuer payments and client prefixes fortifying IRS accountability"")"
"(trade_id,""Identifier linking tax lots to stock activities within clearing systems"")"
"(trade_rule,""Indicator for leveraging net principalaccrued interests in tradeincome records for IRS reporting"")"
"(tran_id,""Unique ID for eventrecord enhancing IRS transactional verification processes"")"
"(tranids,""Transaction record IDs creating box amounts essential for IRS documentation synchronization"")"
"(transaction_cd,""Distinguishes payment nature for financial transactions"")"
"(transfer_agt_ind,""Indicates if second payer field entity acts as transferpaying agent enhancing IRS positional records"")"
"(transfer_type,""Type of transfer performed in allocation or distribution processes"")"
"(transmit_ind,""Indicates if control record is original or marked for correction"")"
"(transmittal_ready,""Determines print or electronic delivery route for records"")"
"(trans_rule,""Value indicating transaction code assignment under IRSrucks strategic delineations"")"
"(trans_type,""Broadrideassigned transaction code ensuring IRSpopularized transaction mechanism standardization"")"
"(trans_type_client,""Tax classification of payment via Broadridge client assignments meaningful for IRS reporting and withholding guidance"")"
"(trans_type_taxonomy,""Broadridge taxonomyassigned transaction code determining IRS tax classification and withholding compliance"")"
"(tran_type,""Assigned transaction type in Broadridges cash matrix pivotal for IRS recordkeeping and financial categorization"")"
"(treaty,""URLbased reference for latest treaty eligibility updates"")"
"(treaty_id,""Treaty ID identifies rule under Chapter 3 or 4 for Nonresident Alien compliance with IRS policies"")"
"(trid,""Broadridge transaction ID within BPSTMS platforms fostering IRSaligned processing and transparency"")"
"(txdivid,""ID related to income notifications in announcement processes"")"
"(type,""Transaction type classification within a general tax code setting"")"
"(ubti_ind,""Indicator security is subject to Unrelated Business Tax significant for IRS tax discretion and processing"")"
"(ufd30audit_id,""Unique ID tracing records through change cycle essential for IRS audit transparency"")"
"(ufd30audit_seq,""Sequence of audit ID changes illustrating count and continuity for IRS inspections"")"
"(ufd31audit_id,""Unique ID for tracing records through change cycle endorsing IRS documentation followthrough"")"
"(ufd31audit_seq,""Sequence illustrating changes recorded by audit ID for IRS evaluation continuity"")"
"(ufdaudit_id,""Unique ID for tracing records through change cycle integral for IRS audit mitigation"")"
"(ufdaudit_seq,""Sequence reflecting acknowledged audit ID changes sustaining IRS transparency and elucidation"")"
"(uitg_inc,""Indicator for account holders inclusionexclusion in Grantor Trust services given IRS regulations"")"
"(uitr_inc,""Indicator confirming account holders inclusionexclusion vital for IRS service alignment decisions"")"
"(unchanged_acct_cusips,""Identifier for securities via CUSIP associated with account management"")"
"(underlying_sec_id,""Status of TIN for jurisdictional validation against available sources"")"
"(under_threshold,""Record ID determining threshold status facilitating IRS qualification thresholds"")"
"(unit_factor,""Unit factor denoting measurement standards for cohesive IRS quantitative entries"")"
"(unreal_cy,""Current unrealized gainloss year data for 1256 option processes"")"
"(unreal_py,""Prior year unrealized gainslosses for 1256 options"")"
"(updatedby,""Resource generating new record pivotal for IRSdriven course integrations"")"
"(updated_by,""Field indicating updater identity ensuring process continuity under IRS examination"")"
"(updateddate,""Date of update maintaining IRS records and synchronization within update series"")"
"(url,""URL address of correspondent supporting IRS web alignments and reference accuracy"")"
"(us_ind,""Indicator for US country code designation in compliance contexts"")"
"(us_taxability,""US tax assessments as governed by federal state and local authorities central to IRS tax obligations"")"
"(voluntary_rate,""Clientdesignated voluntary withholding rate typically 20 structuring IRS withholding recommendations"")"
"(voluntary_wth,""Account holders election for voluntary withholding guiding IRS flexible taxation"")"
"(wave_attribute,""Field representing value in print wave attribute significant for IRS visualization strategies"")"
"(when_issued_ind,""Clientdetermined whenissued status impacting IRS issuances and regulatory timing"")"
"(when_issued_type,""Term for securities set for future issuance impacting trading and reporting expectations"")"
"(whmt_inc,""Indicator controlling account holders service inclusionexclusion according to IRS provisions"")"
"(wht,""Broadridge withholding classification for payments addressing IRS liability across TMS standards"")"
"(withhold_allow,""Withholding allowances for nonresident aliens essential in independent personal service reporting under IRS regulations"")"
"(withhold_allowance,""Amount reducing tax liabilities spotlighting IRS allowance policies safeguarding cumulative relief"")"
"(withhold_elig,""Indicates if income is subject to IRS withholding requirements"")"
"(withhold_fxrate,""Currency conversion rates applied to withholding elements supportive of IRS currency exchanges"")"
"(withholdingid,""Unique database ID within core environments verifying withholding records for IRS insistence"")"
"(withhold_link_id,""Unique ID linking withholding events to withholdable actions imperative for IRS connected event validation"")"
"(withhold_nra_esc,""Amount of NRA taxes placed into escrow validating IRS escrow handling and fiscal detainment methodologies"")"
"(withhold_rate,""Actual withholding rate as governed by IRS ratio adjustments securing compliant financial obligations"")"
"(withhold_rsn,""Event instigating statutory withholding directive for IRS compliance and recordings of causeintensive verifications"")"
"(withhold_type,""Withholding type performed clarifies IRS series withdrawal and aligned fiscal introspections"")"
"(wth_amount,""Withholding event amount potentially consisting of multiple IRS withholding types foundational for deductive tracking"")"
"(wthid,""Primary key for managing withholding transaction tables strategically"")"
"(wth_internal_tranids,""Surrogate keys associated with input source ID ensuring IRS integrity in transactional alignments"")"
"(wth_internal_tranids_nochange,""Surrogate keys for source ID without enrichment ramifications retained under IRS assurance frameworks"")"
"(year,""Assigned transaction year framing definitive IRS records contrasting standard tax annualizations"")"
"(year_lastfile,""Designated entitys last filing year sealing IRS record closure and terminal observations"")"
"(yield,""Trade yield at purchase enforcing IRS dynamics verifying initial evaluations refining consequential assurance strategies"")"
"(zip,""USbased zip code structuring IRS spatial integration in localized address placements"")"
"(zip_ext,""US zip code extension augmenting IRS geographic precision across address coordinates"")"
"(zip_foreign,""Foreign addresses zip codes establishing IRS location scales against international reference paradigms"")"
